project,street,marketSegment,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,x,y,nettPrice
ARTRA,ALEXANDRA VIEW,RCR,73,21-25,1,0526,3,1949000,Apartment,03,Strata,99 yrs lease commencing from 2016,26204.50079,30270.56219,
RESIDENTIAL APARTMENTS,YONG SIAK STREET,RCR,105,01-05,1,1224,3,2400000,Apartment,03,Strata,9999 yrs lease commencing from 1963,27666.37911,29412.87788,
CITY GATE,BEACH ROAD,RCR,66,06-10,1,0626,3,1520000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,70,16-20,1,1021,3,1395000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,53,11-15,1,1121,3,1080000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,75,26-30,1,0122,3,1565000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,63,26-30,1,1121,3,1380000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,42,06-10,1,0522,3,946880,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,42,11-15,1,0722,3,980000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,85,06-10,1,0522,3,1740000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,63,26-30,1,0322,3,1400000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,42,26-30,1,0222,3,905000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,65,16-20,1,0622,3,1390000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,66,16-20,1,0822,3,1530000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,65,21-25,1,0622,3,1460000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,52,11-15,1,0522,3,1115000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,42,11-15,1,0822,3,970000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,75,06-10,1,0323,3,1540000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,53,11-15,1,0922,3,1100000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,136,26-30,1,1222,3,2850000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,64,06-10,1,1022,3,1390000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,84,11-15,1,0123,3,1730000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,84,16-20,1,0123,3,1750000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,42,21-25,1,0523,3,1000000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,84,06-10,1,0922,3,1618000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,63,11-15,1,1022,3,1400000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,64,11-15,1,1022,3,1410000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,52,11-15,1,0723,3,1150000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,70,06-10,1,1123,3,1435000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,52,26-30,1,0823,3,1260000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,75,06-10,1,0224,3,1560000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,84,16-20,1,0224,3,1780000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,64,11-15,1,0424,3,1450000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,63,21-25,1,0224,3,1480000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,66,26-30,1,0824,3,1500000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,66,11-15,1,0324,3,1500000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,63,06-10,1,0824,3,1450000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,65,21-25,1,0324,3,1520000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,52,16-20,1,1023,3,1180000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,52,06-10,1,0824,3,1160000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,65,06-10,1,0424,3,1486000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,149,26-30,1,0823,3,3260800,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,99,21-25,1,0424,3,1580000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,53,26-30,1,0524,3,1150000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,70,26-30,1,0124,3,1595000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,42,16-20,1,0524,3,975000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,40,06-10,1,0524,3,930000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,64,21-25,1,1024,3,1520000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,52,11-15,1,0824,3,1240000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,42,06-10,1,1224,3,950000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,42,11-15,1,0224,3,965000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,63,16-20,1,0525,3,1481000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,72,11-15,1,0925,3,1600000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,65,11-15,1,0925,3,1550000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,42,16-20,1,0125,3,980000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,72,16-20,1,0825,3,1600000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,66,11-15,1,0925,3,1550000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,66,16-20,1,0925,3,1570000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,45,26-30,1,0126,3,988888,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,66,11-15,1,0226,3,1510000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,85,16-20,1,0226,3,1930000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,155,26-30,1,1125,3,3383000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,42,26-30,1,0126,3,1030000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,65,11-15,1,0825,3,1485000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,64,16-20,1,0825,3,1515000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,65,06-10,1,0825,3,1420000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,65,21-25,1,1225,3,1538000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,75,26-30,1,1225,3,1700000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,75,26-30,1,0525,3,1700000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,72,26-30,1,0425,3,1610000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,64,11-15,1,0925,3,1470000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,63,16-20,1,0225,3,1520000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,64,16-20,1,0325,3,1506000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,64,21-25,1,0925,3,1525000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,75,16-20,1,0725,3,1680000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,84,11-15,1,0126,3,1780000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,63,26-30,1,0426,3,1528000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,53,21-25,1,0226,3,1138000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,84,16-20,1,0326,3,1880000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,64,06-10,1,0726,3,1510000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,65,06-10,1,0426,3,1520000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,52,06-10,1,0326,3,1188000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
CITY GATE,BEACH ROAD,RCR,53,16-20,1,0526,3,1120000,Apartment,07,Strata,99 yrs lease commencing from 2014,31220.91906,31632.51122,
FABER HILLS,FABER AVENUE,OCR,282.8,-,1,1121,3,4300000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,543.5,-,1,1021,3,5688800,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,413.2,-,1,1121,3,6800000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,361.3,-,1,1221,3,5200000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,305.3,-,1,0822,3,4800000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,202.3,-,1,0422,3,3480000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,681.3,-,1,0722,3,8800000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,194.9,-,1,0422,3,3800000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,204.2,-,1,0822,3,3730000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,368.9,-,1,0822,3,5505000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,155,01-05,1,0223,3,2000000,Apartment,05,Strata,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,337.2,-,1,0223,3,5880000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,567.2,-,1,0223,3,8000000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,562.6,-,1,0623,3,7500000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,200.7,-,1,0723,3,4000000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,202.2,-,1,0723,3,4000000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,200.2,-,1,0723,3,4100000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,389.9,-,1,1023,3,7000000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,392.3,-,1,1223,3,7100000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,155,01-05,1,0324,3,1990000,Apartment,05,Strata,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,474,-,1,0624,3,7000000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,371.7,-,1,0424,3,7600000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,521.1,-,1,0524,3,7100000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,459.8,-,1,1024,3,6950000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,378.4,-,1,0723,3,6500000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,518.5,-,1,0624,3,7330000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,151.9,-,1,0724,3,4015000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,622.8,-,1,0923,3,6000000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,371.6,-,1,0125,3,7100000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,349.8,-,1,1124,3,7800000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,392.2,-,1,1224,3,6880000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,444.1,-,1,0823,3,6850000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,538.2,-,1,0925,3,6600000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,331.6,-,1,0725,3,6450000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,419.4,-,1,1224,3,8388888,Detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,200,-,1,0726,3,4088000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,417.4,-,1,0426,3,7050000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,204.2,-,1,0426,3,4980000,Terrace,05,Land,Freehold,19758.61841,33430.38236,
FABER HILLS,FABER AVENUE,OCR,380.6,-,1,0826,3,7818000,Semi-detached,05,Land,Freehold,19758.61841,33430.38236,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,217,01-05,1,1021,3,3780000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,323,06-10,1,1221,3,4800000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,06-10,1,1121,3,3520000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,06-10,1,0921,3,3380000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,191,01-05,1,0422,3,3350000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,329,06-10,1,1221,3,4700000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,01-05,1,0722,3,3620000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,193,01-05,1,0322,3,3430000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,272,01-05,1,0322,3,4000000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,217,01-05,1,0822,3,4060000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,06-10,1,1222,3,3785000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,06-10,1,1122,3,3620000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,232,01-05,1,0223,3,4200000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,01-05,1,0223,3,3838000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,06-10,1,0822,3,3580000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,262,01-05,1,0523,3,4850008,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,191,01-05,1,0823,3,3400000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,01-05,1,0724,3,3308888,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,178,01-05,1,0724,3,3060000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,01-05,1,0524,3,3250000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,219,06-10,1,0424,3,3950000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,217,01-05,1,1224,3,3800000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,238,01-05,1,0923,3,3650000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,219,01-05,1,0524,3,3500000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,219,01-05,1,0825,3,3420000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,06-10,1,0425,3,3187200,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,06-10,1,0425,3,3600000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,01-05,1,0226,3,3025000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,01-05,1,1025,3,2820000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,191,01-05,1,0126,3,3228888,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,06-10,1,1225,3,3350000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,01-05,1,1025,3,3068000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,06-10,1,1025,3,3250000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,214,01-05,1,1125,3,3615000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,01-05,1,0325,3,3290000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,219,01-05,1,0525,3,3250000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,01-05,1,0626,3,3030000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,06-10,1,0526,3,3100000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,244,01-05,1,0226,3,3780000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,06-10,1,0426,3,3415000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,01-05,1,0326,3,2900000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE COAST AT SENTOSA COVE,OCEAN DRIVE,CCR,188,06-10,1,0326,3,3088000,Condominium,04,Strata,99 yrs lease commencing from 2006,29138.21001,25323.25071,
THE FOLIAGE,PASIR PANJANG ROAD,RCR,87,01-05,1,0921,3,1290000,Condominium,05,Strata,Freehold,21404.7092,30380.06291,
THE FOLIAGE,PASIR PANJANG ROAD,RCR,89,01-05,1,1121,3,1355000,Condominium,05,Strata,Freehold,21404.7092,30380.06291,
THE FOLIAGE,PASIR PANJANG ROAD,RCR,89,01-05,1,1121,3,1370000,Condominium,05,Strata,Freehold,21404.7092,30380.06291,
THE FOLIAGE,PASIR PANJANG ROAD,RCR,87,01-05,1,0422,3,1340000,Condominium,05,Strata,Freehold,21404.7092,30380.06291,
THE FOLIAGE,PASIR PANJANG ROAD,RCR,103,01-05,1,1122,3,1500000,Condominium,05,Strata,Freehold,21404.7092,30380.06291,
THE FOLIAGE,PASIR PANJANG ROAD,RCR,103,01-05,1,0125,3,1650000,Condominium,05,Strata,Freehold,21404.7092,30380.06291,
